price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
1,7420,4,2,3,1,0,0,0,1,2,1,0
1,8960,4,4,4,1,0,0,0,1,3,0,0
1,9960,3,2,2,1,0,1,0,0,2,1,0
1,7500,4,2,2,1,0,1,0,1,3,1,0
1,7420,4,1,2,1,1,1,0,1,2,0,0
1,7500,3,3,1,1,0,1,0,1,2,1,0
1,8580,4,3,4,1,0,0,0,1,2,1,0
1,16200,5,3,2,1,0,0,0,0,0,0,0
1,8100,4,1,2,1,1,1,0,1,2,1,0
1,5750,3,2,4,1,1,0,0,1,1,1,0
1,13200,3,1,2,1,0,1,0,1,2,1,0
1,6000,4,3,2,1,1,1,1,0,2,0,0
1,6550,4,2,2,1,0,0,0,1,1,1,0
1,3500,4,2,2,1,0,0,1,0,2,0,0
1,7800,3,2,2,1,0,0,0,0,0,1,0
1,6000,4,1,2,1,0,1,0,0,2,0,0
1,6600,4,2,2,1,1,1,0,1,1,1,0
1,8500,3,2,4,1,0,0,0,1,2,0,0
1,4600,3,2,2,1,1,0,0,1,2,0,0
1,6420,3,2,2,1,0,0,0,1,1,1,0
1,4320,3,1,2,1,0,1,1,0,2,0,0
1,7155,3,2,1,1,1,1,0,1,2,0,0
1,8050,3,1,1,1,1,1,0,1,1,0,0
1,4560,3,2,2,1,1,1,0,1,1,0,0
1,8800,3,2,2,1,0,0,0,1,2,0,0
1,6540,4,2,2,1,1,1,0,1,2,1,0
1,6000,3,2,4,1,1,1,0,1,0,1,0
1,8875,3,1,1,1,0,0,0,0,1,0,0
1,7950,5,2,2,1,0,1,1,0,2,0,0
1,5500,4,2,2,1,0,1,0,1,1,1,0
1,7475,3,2,4,1,0,0,0,1,2,0,0
1,7000,3,1,4,1,0,0,0,1,2,0,0
1,4880,4,2,2,1,0,0,0,1,1,1,0
1,5960,3,3,2,1,1,1,0,0,1,0,0
1,6840,5,1,2,1,1,1,0,1,1,0,0
1,7000,3,2,4,1,0,0,0,1,2,0,0
1,7482,3,2,3,1,0,0,1,0,1,1,0
1,9000,4,2,4,1,0,0,0,1,2,0,0
1,6000,3,1,4,1,1,0,0,1,2,0,0
1,6000,4,2,4,1,0,0,0,1,1,0,0
1,6550,3,1,2,1,0,1,0,1,0,1,0
1,6360,3,2,4,1,0,0,0,1,0,1,0
1,6480,3,2,4,1,0,0,0,1,2,0,0
1,6000,4,2,4,1,0,0,0,0,2,0,0
1,6000,4,2,4,1,0,0,0,1,1,0,0
1,6000,3,2,3,1,0,0,0,1,0,0,0
1,6000,3,2,4,1,0,0,0,1,1,0,0
1,6600,3,1,4,1,0,0,0,1,3,1,0
1,4300,3,2,2,1,0,1,0,0,1,0,0
1,7440,3,2,1,1,1,1,0,1,0,1,0
1,7440,3,2,4,1,0,0,0,0,1,1,0
1,6325,3,1,4,1,0,0,0,1,1,0,0
1,6000,4,2,4,1,1,0,0,1,1,0,0
1,5150,3,2,4,1,0,0,0,1,2,0,0
1,6000,3,2,2,1,1,0,0,1,1,0,0
1,6000,3,1,2,1,0,0,0,1,1,0,0
1,11440,4,1,2,1,0,1,0,0,1,1,0
1,9000,4,2,4,1,1,0,0,1,1,1,0
1,7680,4,2,4,1,1,0,0,1,1,0,0
1,6000,3,2,4,1,1,0,0,1,1,0,0
1,6000,3,2,2,1,1,0,0,0,1,0,0
1,8880,2,1,1,1,0,0,0,1,1,0,0
1,6240,4,2,2,1,0,0,0,1,1,0,0
1,6360,4,2,3,1,0,0,0,1,2,1,0
1,11175,3,1,1,1,0,1,0,1,1,1,0
1,8880,3,2,2,1,0,1,0,1,1,0,0
1,13200,2,1,1,1,0,1,1,0,1,0,0
1,7700,3,2,1,1,0,0,0,0,2,0,0
1,6000,3,1,1,1,0,0,0,1,1,0,0
1,12090,4,2,2,1,0,0,0,0,2,1,0
1,4000,3,2,2,1,0,1,0,1,0,1,0
1,6000,4,2,4,1,0,0,0,1,0,0,0
1,5020,3,1,4,1,0,0,0,1,0,1,0
1,6600,2,2,4,1,0,1,0,0,0,1,0
1,4040,3,1,2,1,0,1,1,0,1,0,0
1,4260,4,2,2,1,0,0,1,0,0,0,0
1,6420,3,2,3,1,0,0,0,1,0,1,0
1,6500,3,2,3,1,0,0,0,1,0,1,0
1,5700,3,1,1,1,1,1,0,1,2,1,0
1,6000,3,2,3,1,1,0,0,1,0,0,0
1,6000,3,1,2,1,0,0,1,0,1,1,0
1,4000,3,2,2,1,0,1,0,1,1,0,0
1,10500,3,2,1,1,0,1,0,1,1,1,0
